cluster_id,class_id,excess_q50_loss,excess_q50_loss_ci_low,excess_q50_loss_ci_high,loss_above_practical_threshold_pvalue,loss_above_practical_threshold_global_fdr,leave_one_style_out_min_effect,is_task_transfer_blindspot
C3-F40,3,0.0772537286382627,0.05709333342814353,0.09866661198299025,0.005997001499250375,0.04037981009495252,0.07544715486323209,1
C3-F39,3,0.07196692613364113,0.05468010153029093,0.08934248393571499,0.0074962518740629685,0.04453655525178587,0.06996265066842378,1
C5-F01,5,0.06982374583655082,0.05430220993355596,0.08483792939066583,0.0069965017491254375,0.04416541729135432,0.06813062488031378,1
C6-F20,6,0.1157273582266457,0.044782340452155685,0.1716668936165519,0.010994502748625687,0.058444461979536545,0.11145846740760779,0
C6-F23,6,0.10561157942735583,0.03096141666166876,0.17376013361320142,0.053973013493253376,0.20966439856994581,0.10079596568699228,0
C5-F07,5,0.09146959222550177,0.026813427187199604,0.15324482136490386,0.07896051974012994,0.28482187477689724,0.08686909746927295,0
C6-F24,6,0.08827642229016214,0.028153053612477247,0.1445185787739934,0.08595702148925537,0.2893886390138264,0.08302360156808765,0
C6-F18,6,0.08511802778785811,0.029709795078187412,0.12862802330993195,0.047976011994003,0.20189905047476261,0.08076197995612311,0
C6-F15,6,0.08384364860183237,0.012380684426755129,0.14840823872268172,0.1374312843578211,0.4343888661729742,0.08095680484308392,0
C6-F03,6,0.08364224327078484,0.04235405615507283,0.1127487712428527,0.014992503748125937,0.07210680374098664,0.08093888500391935,0
C5-F17,5,0.082243690068765,0.059343208589671854,0.11071960849515242,0.012993503248375811,0.06561719140429785,0.07562191448992818,0
C6-F12,6,0.07863174208639956,0.04117355515573996,0.11412722589362999,0.04997501249375312,0.20189905047476261,0.07481277060067637,0
C6-F11,6,0.0782535088655625,0.026708726445537,0.11482777857029679,0.06346826586706647,0.2374183278731005,0.07443169503356159,0
C3-F30,3,0.07577621091369591,0.05416164305102518,0.0970295296290496,0.008995502248875561,0.05047476261869065,0.07267889584341158,0
C3-F16,3,0.07187173232770662,0.051083677465846106,0.0949624826953623,0.03248375812093953,0.1491299804643133,0.06991763736970608,0
C3-F22,3,0.06909011379447888,0.04864136513109972,0.09171855594597149,0.04847576211894053,0.20189905047476261,0.0650645690732726,0
C6-F16,6,0.06746227149623475,-0.0019705659002765036,0.12066446524980376,0.24387806096951525,0.6787527288987085,0.06405848287567098,0
C3-F19,3,0.06408924128996579,0.040591189531046436,0.08886337687623065,0.13793103448275862,0.4343888661729742,0.061585363831634564,0
C5-F18,5,0.06351973862211278,0.04669844018585128,0.08249680638128525,0.08195902048975512,0.2854434851539747,0.060962736141998985,0
C6-F02,6,0.06339422003686147,0.019292447635575145,0.0939786184525932,0.14192903548225888,0.4343888661729742,0.05960082558919975,0
C6-F10,6,0.06239381437762057,0.002856762228698807,0.11210684739695095,0.30434782608695654,0.7881828316610926,0.059358494619523625,0
C5-F26,5,0.062219655788641436,0.026832086290103845,0.09845657108689294,0.2518740629685157,0.6787527288987085,0.058253583703639075,0
